port,protocol,title,domain,country,as_organization,host,ip,city
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://mailserver.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://smtp.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://mx4.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://mailgate.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://baijialekaihudaohang.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://erbagongwanfa.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://mingshengyulechengdaili.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://yinghuangguojizaixianyulecheng.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://mx81.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://zuixinhuangguanbeiwangzhi.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://ms1.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://3g.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://dk-perm.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://m.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://smtpauth.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://cafeteria.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://www.mail.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://thegolfgirl.www.asiapeak.com,220.128.97.53,Taipei
443,https,"玉山科技-檔案傳輸管理(MFT),SFTP,硬體加密模組(HSM),電子時戳,資料加密,nCipher,PGP,檔案加密,FTPS ",asiapeak.com,CN,Data Communication Business Group,https://mail.www.asiapeak.com,220.128.97.53,Taipei
